What year did World War II end?,1945,1939,1950,1918,History
Who played the role of Andy Dufresne in “The Shawshank Redemption”?,Tim Robbins,Morgan Freeman,Tom Hanks,Brad Pitt,Movies
Who directed “Inception”?,Christopher Nolan,Quentin Tarantino,Stanley Kubrick,Alfred Hitchcock,Movies
Who played the role of James Bond in “Casino Royale”?,Daniel Craig,Sean Connery,Pierce Brosnan,Roger Moore,Movies
What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Endoplasmic Reticulum,Science
What is the speed of light in vacuum?,299 792 km/s,500 000 km/s,1 000 000 km/s,150 000 km/s,Science
Who discovered the electron?, J.J. Thomson,Albert Einstein,Isaac Newton,Niels Bohr,Science
What is the most abundant gas in the Earth’s atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon,Science
What is the chemical formula for water?,H2O,CO2,O2,N2,Science
What is the atomic number of carbon?,6,7,8,12,Science
Who is known as the father of modern physics?,Galileo Galilei,Isaac Newton,Albert Einstein,Nikola Tesla,Science
What is the study of plants called?,Botany,Zoology,Mycology,Entomology,Science
What is the universal gravitational constant (G)?,6.67430(15)×10−11 m3⋅kg−1⋅s−2 9.8 m/s2,3.14,1.6 x 10^-19 C,Science
Who proposed the three laws of motion?,Isaac Newton,Albert Einstein,Galileo Galilei,Johannes Kepler,Science
Who composed the Four Seasons?,Antonio Vivaldi,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Music
What is the highest voice range in female vocal range?,Soprano,Alto,Tenor,Bass,Music
Who is known as the Queen of Soul?,Aretha Franklin,Whitney Houston,Tina Turner,Diana Ross,Music
What is the musical term for increasing volume?,Crescendo,Decrescendo,Forte,Piano,Music
Who composed the music for the film “The Lion King”?,Hans Zimmer,John Williams,Danny Elfman,Howard Shore,Music
Who is the lead vocalist of the band “Queen”?,Freddie Mercury,Brian May,Roger Taylor,John Deacon,Music
What is the term for a group of 8 musicians?,Octet,Quartet,Duet,Solo,Music
Who composed the Brandenburg Concertos?,Johann Sebastian Bach,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Franz Schubert,Music
What is the term for the speed or pace of a given piece of music?,Tempo,Pitch,Volume,Tone,Music
Who is known as the King of Rock and Roll?,Elvis Presley,Michael Jackson,Bob Dylan,Jimi Hendrix,Music
Who was the first woman to fly solo across the Atlantic?,Amelia Earhart,Sally Ride,Valentina Tereshkova,Harriet Quimby,History
What year was the Declaration of Independence signed?,1776,1783,1492,1865,History
Who was the longest reigning British monarch?,Queen Elizabeth II,Queen Victoria,King George III,King Henry VIII,History
What was the name of the ship on which the Pilgrims traveled to America?,Mayflower,Titanic,Santa Maria,HMS Beagle,History
Who was the Roman god of war?,Mars,Jupiter,Apollo,Mercury,History
Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Isaac Newton,History
What was the name of the last queen of France?,Marie Antoinette,Queen Victoria,Cleopatra,Elizabeth I,History
Who wrote the Communist Manifesto?,Karl Marx,Vladimir Lenin,Friedrich Engels,Joseph Stalin,History
What was the capital of the ancient Persian empire?,Persepolis,Rome,Athens,Babylon,History
Who was the first emperor of China?,Qin Shi Huang,Confucius,Mao Zedong,Sun Yat-sen,History
What is the highest mountain in the world?,Mount Everest,K2, Mount Kilimanjaro,Mount Fuji,Geography
What is the longest river in the world?,Nile River,Amazon River,Yangtze River,Mississippi River,Geography
What is the largest desert in the world?,Sahara Desert,Arabian Desert,Gobi Desert,Kalahari Desert,Geography
What is the smallest country in the world?,Vatican City,Monaco,Nauru,Tuvalu,Geography
Which country has the most islands?,Sweden,Canada,Indonesia,Philippines,Geography
What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,Geography
What is the largest lake in the world?,Caspian Sea,Lake Superior,Lake Victoria,Lake Baikal,Geography
Which country is known as the Land of the Rising Sun?,Japan,China,South Korea,Thailand,Geography
What is the largest country in Africa by area?,Algeria,Congo,Sudan,South Africa,Geography
Which city is known as the City of Canals?,Venice,Amsterdam,Stockholm,Bruges,Geography
